날짜,시간,발전기명,설비용량(MW),해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-01-09,18시,(군산)삼랑진태양광,3.0,3.816,5359.14
2023-01-09,19시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,20시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,21시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,22시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,23시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-09,24시,(군산)삼랑진태양광,3.0,0.0,5359.14
2023-01-10,01시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,02시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,03시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,04시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,05시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,06시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,07시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,08시,(군산)삼랑진태양광,3.0,0.288,7499.7
2023-01-10,09시,(군산)삼랑진태양광,3.0,246.45600000000002,7499.7
2023-01-10,10시,(군산)삼랑진태양광,3.0,922.02,7499.7
2023-01-10,11시,(군산)삼랑진태양광,3.0,1595.1840000000002,7499.7
2023-01-10,12시,(군산)삼랑진태양광,3.0,1915.656,7499.7
2023-01-10,13시,(군산)삼랑진태양광,3.0,2019.2400000000002,7499.7
2023-01-10,14시,(군산)삼랑진태양광,3.0,1945.824,7499.7
2023-01-10,15시,(군산)삼랑진태양광,3.0,1654.452,7499.7
2023-01-10,16시,(군산)삼랑진태양광,3.0,1009.416,7499.7
2023-01-10,17시,(군산)삼랑진태양광,3.0,315.048,7499.7
2023-01-10,18시,(군산)삼랑진태양광,3.0,0.8520000000000001,7499.7
2023-01-10,19시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,20시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,21시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,22시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,23시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-10,24시,(군산)삼랑진태양광,3.0,0.0,7499.7
2023-01-11,01시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,02시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,03시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,04시,(군산)삼랑진태양광,3.0,0.0,7363.8
2023-01-11,05시,(군산)삼랑진태양광,3.0,0.0,7363.8
