날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh)
2023-08-01,(군산)영암F1태양광,13.296,01시,0.0,67756.8
2023-08-02,(군산)영암F1태양광,13.296,01시,0.0,69129.6
2023-08-03,(군산)영암F1태양광,13.296,01시,0.0,74467.2
2023-08-04,(군산)영암F1태양광,13.296,01시,0.0,62227.2
2023-08-05,(군산)영암F1태양광,13.296,01시,0.0,57100.8
2023-08-06,(군산)영암F1태양광,13.296,01시,0.0,61180.8
2023-08-07,(군산)영암F1태양광,13.296,01시,0.0,65040.0
2023-08-08,(군산)영암F1태양광,13.296,01시,0.0,55200.0
2023-08-09,(군산)영암F1태양광,13.296,01시,0.0,30518.4
2023-08-10,(군산)영암F1태양광,13.296,01시,0.0,44064.0
2023-08-11,(군산)영암F1태양광,13.296,01시,0.0,57801.6
2023-08-12,(군산)영암F1태양광,13.296,01시,0.0,60172.8
2023-08-13,(군산)영암F1태양광,13.296,01시,0.0,69484.8
2023-08-14,(군산)영암F1태양광,13.296,01시,0.0,55478.4
2023-08-15,(군산)영암F1태양광,13.296,01시,0.0,61209.6
2023-08-16,(군산)영암F1태양광,13.296,01시,0.0,61564.8
2023-08-17,(군산)영암F1태양광,13.296,01시,0.0,68630.4
2023-08-18,(군산)영암F1태양광,13.296,01시,0.0,60912.0
2023-08-19,(군산)영암F1태양광,13.296,01시,0.0,63542.4
2023-08-20,(군산)영암F1태양광,13.296,01시,0.0,71971.2
2023-08-21,(군산)영암F1태양광,13.296,01시,0.0,59491.2
2023-08-22,(군산)영암F1태양광,13.296,01시,0.0,48854.4
2023-08-23,(군산)영암F1태양광,13.296,01시,0.0,11721.6
2023-08-24,(군산)영암F1태양광,13.296,01시,0.0,25008.0
2023-08-25,(군산)영암F1태양광,13.296,01시,0.0,71145.6
2023-08-26,(군산)영암F1태양광,13.296,01시,0.0,69273.6
2023-08-27,(군산)영암F1태양광,13.296,01시,0.0,57091.2
2023-08-28,(군산)영암F1태양광,13.296,01시,0.0,49872.0
2023-08-29,(군산)영암F1태양광,13.296,01시,0.0,22214.4
2023-08-30,(군산)영암F1태양광,13.296,01시,0.0,19728.0
2023-08-31,(군산)영암F1태양광,13.296,01시,0.0,64483.2
2023-09-01,(군산)영암F1태양광,13.296,01시,0.0,60009.6
2023-09-02,(군산)영암F1태양광,13.296,01시,0.0,29145.6
2023-09-03,(군산)영암F1태양광,13.296,01시,0.0,42163.2
2023-09-04,(군산)영암F1태양광,13.296,01시,0.0,52972.8
2023-09-05,(군산)영암F1태양광,13.296,01시,0.0,49276.8
2023-09-06,(군산)영암F1태양광,13.296,01시,0.0,67296.0
2023-09-07,(군산)영암F1태양광,13.296,01시,0.0,72998.4
2023-09-08,(군산)영암F1태양광,13.296,01시,0.0,74044.8
2023-09-09,(군산)영암F1태양광,13.296,01시,0.0,71980.8
2023-09-10,(군산)영암F1태양광,13.296,01시,0.0,58156.8
2023-09-11,(군산)영암F1태양광,13.296,01시,0.0,65212.8
2023-09-12,(군산)영암F1태양광,13.296,01시,0.0,46761.6
2023-09-13,(군산)영암F1태양광,13.296,01시,0.0,20179.2
2023-09-14,(군산)영암F1태양광,13.296,01시,0.0,15561.6
2023-09-15,(군산)영암F1태양광,13.296,01시,0.0,30681.6
