년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-05-17,1,3168,132,1163,0,1163,3,598,1163,424,592,290,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2013-05-18,1,45712,1905,4622,0,4622,2,8,0,0,0,0,0,0,2,0,593,2822,3675,3417,4622,3745,3037,2678,4042,4289,2549,2738,2352,2498,2645
2013-05-19,1,34874,1453,2897,285,2897,285,2589,1940,1407,696,285,441,917,1049,1062,935,1208,872,1789,1335,1375,1741,1461,2796,2897,2210,1274,1215,1776,1604
2013-05-20,1,8695,362,2113,0,2113,3,1426,2113,1971,1459,855,116,0,0,3,192,0,39,69,183,141,119,0,0,9,0,0,0,0,0
2013-05-21,1,2625,109,601,0,601,2,0,0,189,578,184,0,0,0,0,0,2,0,0,0,0,0,0,471,601,217,58,46,191,88
2013-05-22,1,1535,64,584,0,584,21,24,380,281,0,0,0,0,0,103,0,0,0,0,0,21,584,142,0,0,0,0,0,0,0
2013-05-23,1,4829,201,1344,0,1344,18,0,0,105,498,453,390,267,39,18,105,353,699,1344,558,0,0,0,0,0,0,0,0,0,0
2013-05-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-25,1,7021,293,1816,0,1816,19,0,0,0,0,0,0,0,0,0,0,163,284,19,255,342,151,294,38,22,383,683,1236,1335,1816
2013-05-26,1,75891,3162,5850,314,5850,314,1003,720,314,636,1888,2754,3133,4126,5327,5587,5850,5684,2255,2139,3829,4004,3118,2459,3185,3402,4193,4350,3522,2413
2013-05-27,1,65537,2731,4558,206,4558,206,1496,1312,1353,1491,1513,1514,206,780,1518,3512,3661,4551,4558,4557,3053,2824,3786,4547,4555,4526,4523,3022,1457,1222
2013-05-28,1,10267,428,1355,0,1355,1,797,909,1355,1169,584,678,334,37,411,144,236,374,497,305,564,632,479,356,184,41,123,57,1,0
2013-05-29,1,1322,55,321,0,321,4,0,11,223,321,185,25,4,0,0,0,0,0,0,0,0,171,240,131,0,11,0,0,0,0
2013-05-30,1,2373,99,649,0,649,5,0,236,567,94,557,649,48,0,0,16,0,0,0,112,0,5,40,49,0,0,0,0,0,0
2013-05-31,1,350,15,150,0,150,30,0,0,0,100,150,70,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,1,2190,91,486,0,486,1,0,0,0,0,0,5,145,0,0,0,0,0,1,94,180,411,294,153,51,0,55,0,315,486
2013-06-02,1,11201,467,2056,0,2056,21,345,218,0,160,21,0,299,229,545,413,1536,1079,1714,1066,1137,2056,308,75,0,0,0,0,0,0
2013-06-03,1,427,18,209,0,209,3,52,100,209,3,0,0,0,0,0,0,0,0,0,0,25,38,0,0,0,0,0,0,0,0
2013-06-04,1,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2013-06-05,1,211,9,115,0,115,15,115,0,0,0,0,0,0,0,55,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-06,1,824,34,510,0,510,4,0,0,0,0,0,0,0,0,29,510,266,0,0,0,4,15,0,0,0,0,0,0,0,0
2013-06-07,1,7509,313,2243,0,2243,8,0,8,292,0,0,0,0,0,0,0,0,0,0,198,524,93,2243,1769,906,536,0,22,554,364
2013-06-08,1,45917,1913,4097,0,4097,9,0,0,11,9,384,3800,2989,638,985,1379,3923,2496,3405,3713,2774,3932,4097,3341,1700,763,865,2044,1508,1161
