년월일,단계,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-05-06,1,102154,4256,11251,711,11251,711,3839,3110,1540,1951,2643,2806,4392,5011,3272,1570,1388,1376,711,846,911,1279,3490,4553,7920,9714,9099,10026,11251,9456
2013-05-07,1,57986,2416,8820,0,8820,417,8820,6404,4424,6838,3340,2464,1768,1192,0,4600,2122,2315,2904,2108,2020,1525,1387,960,596,588,417,0,454,740
2013-05-08,1,14375,599,2288,12,2288,12,566,441,454,185,301,433,643,262,496,782,1107,795,869,998,681,607,150,12,63,270,122,410,1440,2288
2013-05-09,1,112799,4700,10745,561,10745,561,1593,1338,1035,951,1016,561,1202,786,817,1153,1235,2784,4331,7067,7942,7906,10421,8337,7867,10745,9032,8924,8758,6998
2013-05-10,1,135816,5659,10877,0,10877,717,6428,6020,3594,3788,2366,1464,0,717,2276,4907,7427,7488,5690,10082,10877,10090,8634,5118,4089,6126,9599,8919,5547,4570
2013-05-11,1,42412,1767,4347,0,4347,10,3209,1914,1600,3748,4347,2178,2761,1730,2550,3661,3948,3286,2604,1954,820,10,0,0,0,0,0,164,516,1412
2013-05-12,1,40745,1698,7586,0,7586,12,2302,808,272,146,1190,2264,2978,1642,1016,503,894,224,44,16,0,12,352,652,948,2952,5928,3786,4230,7586
2013-05-13,1,79670,3320,9584,0,9584,150,8036,8818,9584,8748,8144,8158,8488,790,150,0,0,0,708,1520,1256,1122,1148,1594,1304,1326,1838,1220,2010,3708
2013-05-14,1,84432,3518,7482,318,7482,318,2934,2780,4150,4194,3614,5962,6676,5392,6228,7482,5972,3952,3586,4506,3682,2850,1758,1080,810,318,524,1464,1932,2586
2013-05-15,1,8163,340,2592,0,2592,2,2592,1360,1248,718,432,390,560,102,240,0,333,146,0,0,40,0,2,0,0,0,0,0,0,0
2013-05-16,1,88562,3690,5138,0,5138,88,0,88,344,2008,3342,4742,4092,3708,3470,3478,3216,4246,4582,4114,4506,4444,4714,4902,4524,5138,4774,4550,4848,4732
2013-05-17,1,52946,2206,5654,0,5654,14,4566,5654,4584,4962,3460,3520,2896,2128,2144,2096,2250,2224,2194,1956,2018,1730,1354,1018,760,552,454,412,0,14
2013-05-18,1,39480,1645,7144,0,7144,2,34,234,202,166,2,16,0,30,42,0,20,458,1276,1176,2038,1970,560,906,2162,4418,6054,5034,5538,7144
2013-05-19,1,96118,4005,9018,14,9018,14,9018,8210,8162,1904,964,808,306,14,1168,2654,1122,1136,3422,4916,3120,3120,4386,3766,3850,6238,6370,6328,8782,6354
2013-05-20,1,33440,1393,9438,0,9438,4,5788,9438,7764,3180,4282,2098,230,18,30,28,0,0,36,0,0,4,46,46,0,74,378,0,0,0
2013-05-21,1,7454,311,1650,0,1650,16,0,0,554,674,386,182,270,0,0,0,0,16,52,232,292,208,222,136,504,352,26,436,1262,1650
2013-05-22,1,4004,167,1282,0,1282,6,288,556,1282,504,0,0,0,32,76,0,0,0,0,6,10,236,530,12,0,0,0,0,0,472
2013-05-23,1,10266,428,1352,0,1352,96,356,310,1352,1324,910,1038,1078,724,134,204,468,714,632,412,174,340,96,0,0,0,0,0,0,0
2013-05-24,1,3350,140,1184,0,1184,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,216,454,502,1184,986
2013-05-25,1,8206,342,918,0,918,10,396,30,0,0,134,0,60,10,0,44,244,918,654,688,262,12,748,482,808,818,670,410,374,444
2013-05-26,1,64040,2668,4630,350,4630,350,350,378,428,968,1894,2738,2382,3386,3560,4140,4364,3842,3894,3302,4246,3578,1850,1092,534,978,2580,4630,4536,4390
2013-05-27,1,124828,5201,5750,4316,5750,4316,5246,5750,5514,4580,4936,4982,5198,5244,5318,4718,5558,5576,5374,5342,4848,5454,4316,5534,5546,5556,4836,5182,4682,5538
2013-05-28,1,47928,1997,5008,0,5008,202,4172,4286,5008,3942,3846,3096,2314,2856,1636,1050,348,1462,1756,532,202,2306,1972,2828,2334,1214,566,202,0,0
2013-05-29,1,16480,687,2886,0,2886,8,0,0,0,0,0,0,0,0,74,8,364,58,0,246,1328,720,888,2750,2410,2886,1194,892,1758,904
2013-05-30,1,25080,1045,5622,0,5622,44,578,3776,5622,4030,2424,1016,910,390,0,72,66,0,0,0,64,852,646,728,262,44,1850,1208,414,128
2013-05-31,1,4876,203,776,0,776,6,650,776,512,576,424,230,16,0,0,0,0,0,0,0,0,6,138,80,42,390,456,552,28,0
