일자,발전구분,설비용량(MW),시간,발전량(kWh),연식(년)
2023-10-23,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-24,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-25,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-26,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-27,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-28,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-29,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-30,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-10-31,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-01,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-02,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-03,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-04,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-05,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-06,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-07,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-08,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-09,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-10,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-11,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-12,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-13,(군산)영암F1태양광,13.296,1,0.0,10.9
2023-11-14,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-15,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-16,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-17,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-18,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-19,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-20,(군산)영암F1태양광,13.296,1,0.0,11.0
2023-11-21,(군산)영암F1태양광,13.296,1,0.0,11.0
