날짜,발전기코드,발전기명,충전_방전,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,합계
2019-04-09,9389,농촌공진도태양광,방전,0,0,0,0,0,0,11592,95112,277560,299520,200232,81432,89784,46512,37296,33624,0,13968,0,0,0,0,0,0,1186632
2019-04-10,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,26424,41472,38088,48096,156384,228888,174672,124272,92088,127656,52848,9720,0,0,0,0,0,1120608
2019-04-11,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,72432,159696,315216,366552,362448,337896,368640,342288,315000,265608,139752,30024,0,0,0,0,0,3075552
2019-04-12,9389,농촌공진도태양광,방전,0,0,0,0,0,0,8568,94680,287568,564480,734760,819288,854568,829440,761472,598392,402624,139536,33624,0,0,0,0,0,6129000
2019-04-13,9389,농촌공진도태양광,방전,0,0,0,0,0,0,7560,55296,160920,295488,316800,445536,467640,472464,343728,187704,216072,162432,49248,0,0,0,0,0,3180888
2019-04-14,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,46512,103464,189216,143568,70488,124704,137160,242928,507672,381888,188856,44712,0,0,0,0,0,2181168
2019-04-15,9389,농촌공진도태양광,방전,0,0,0,0,0,0,14184,149688,358848,613728,754416,837792,858168,842616,773640,626184,416448,186120,47808,0,0,0,0,0,6479640
2019-04-16,9389,농촌공진도태양광,방전,0,0,0,0,0,0,15912,144864,340776,576000,623160,582624,704520,614376,435384,416736,206928,96984,14544,0,0,0,0,0,4772808
2019-04-17,9389,농촌공진도태양광,방전,0,0,0,0,0,0,10152,104400,373608,493272,344592,141192,243936,315288,380592,483768,413784,196128,38376,0,0,0,0,0,3539088
2019-04-18,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,64080,190944,253584,493848,494712,491616,494568,493344,491328,377424,182160,43704,0,0,0,0,0,4071312
2019-04-19,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,35928,166104,312480,325656,344736,123408,121536,378504,348984,216720,80496,20376,0,0,0,0,0,2474928
2019-04-20,9389,농촌공진도태양광,방전,0,0,0,0,0,0,19656,132048,338976,420984,495144,494856,494568,494424,494424,490608,369576,177336,43920,0,0,0,0,0,4466520
2019-04-21,9389,농촌공진도태양광,방전,0,0,0,0,0,0,16632,133128,326664,476064,282960,216432,279216,318888,162432,144288,220176,80928,22464,0,0,0,0,0,2680272
2019-04-22,9389,농촌공진도태양광,방전,0,0,0,0,0,0,19944,142992,357840,491832,494352,494064,494208,494280,490968,491616,257760,153504,35424,0,0,0,0,0,4418784
2019-04-23,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,27720,41328,47448,49896,74880,98856,328032,273240,237240,208584,80136,14472,0,0,0,0,0,1481832
2019-04-24,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,32544,103896,194184,231552,196992,175752,176976,144216,157608,102744,22104,0,0,0,0,0,0,1538568
2019-04-25,9389,농촌공진도태양광,방전,0,0,0,0,0,0,10512,53280,120960,131400,120888,144864,144432,142704,307224,231624,51048,24192,30384,0,0,0,0,0,1513512
2019-04-26,9389,농촌공진도태양광,방전,0,0,0,0,0,0,8136,43416,88128,112320,93672,239760,156888,131328,122040,166608,110232,69264,10440,0,0,0,0,0,1352232
2019-04-27,9389,농촌공진도태양광,방전,0,0,0,0,0,0,11232,119088,368424,407304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906048
2019-04-28,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,19872,32328,90144,113472,139248,136872,154800,204696,314568,277704,114912,29376,0,0,0,0,0,1627992
2019-04-29,9389,농촌공진도태양광,방전,0,0,0,0,0,0,0,30960,45432,69408,48456,29088,69552,56376,44496,45864,36576,20592,0,0,0,0,0,0,496800
2019-04-30,9389,농촌공진도태양광,방전,0,0,0,0,0,0,15552,49608,84024,170568,266472,454104,458568,492048,494136,489096,389520,167976,67176,0,0,0,0,0,3598848
