날짜,발전기명,설비용량(MW),시간,해당 시간 발전량(kWh),해당날짜 총 발전량(kMh),주소지
2023-05-05,장흥풍력,18.0,01시,6773.097,83550.771,전남 장흥군 유치면 용문리 산4번지 외 127필지
2023-05-06,장흥풍력,18.0,01시,4004.848,52190.305,전남 장흥군 유치면 용문리 산4번지 외 128필지
2023-05-07,장흥풍력,18.0,01시,4268.078,36364.716,전남 장흥군 유치면 용문리 산4번지 외 129필지
2023-05-08,장흥풍력,18.0,01시,3025.693,50341.913,전남 장흥군 유치면 용문리 산4번지 외 130필지
2023-05-09,장흥풍력,18.0,01시,1.446,65210.04,전남 장흥군 유치면 용문리 산4번지 외 131필지
2023-05-10,장흥풍력,18.0,01시,6093.328,67310.091,전남 장흥군 유치면 용문리 산4번지 외 132필지
2023-05-11,장흥풍력,18.0,01시,624.808,9670.068,전남 장흥군 유치면 용문리 산4번지 외 133필지
2023-05-12,장흥풍력,18.0,01시,465.714,14306.955,전남 장흥군 유치면 용문리 산4번지 외 134필지
2023-05-13,장흥풍력,18.0,01시,1832.482,5893.736,전남 장흥군 유치면 용문리 산4번지 외 135필지
2023-05-14,장흥풍력,18.0,01시,20.248,4618.085,전남 장흥군 유치면 용문리 산4번지 외 136필지
2023-05-15,장흥풍력,18.0,01시,0.0,16204.522,전남 장흥군 유치면 용문리 산4번지 외 137필지
2023-05-16,장흥풍력,18.0,01시,1055.811,12943.08,전남 장흥군 유치면 용문리 산4번지 외 138필지
2023-05-17,장흥풍력,18.0,01시,2808.745,40524.322,전남 장흥군 유치면 용문리 산4번지 외 139필지
2023-05-18,장흥풍력,18.0,01시,624.808,51125.816,전남 장흥군 유치면 용문리 산4번지 외 140필지
2023-05-19,장흥풍력,18.0,01시,28.926,4733.791,전남 장흥군 유치면 용문리 산4번지 외 141필지
2023-05-20,장흥풍력,18.0,01시,0.0,10176.28,전남 장흥군 유치면 용문리 산4번지 외 142필지
2023-05-21,장흥풍력,18.0,01시,293.602,26317.163,전남 장흥군 유치면 용문리 산4번지 외 143필지
2023-05-22,장흥풍력,18.0,01시,4120.554,52314.686,전남 장흥군 유치면 용문리 산4번지 외 144필지
2023-05-23,장흥풍력,18.0,01시,3925.301,34306.61,전남 장흥군 유치면 용문리 산4번지 외 145필지
2023-05-24,장흥풍력,18.0,01시,0.0,4723.667,전남 장흥군 유치면 용문리 산4번지 외 146필지
2023-05-25,장흥풍력,18.0,01시,59.299,25646.071,전남 장흥군 유치면 용문리 산4번지 외 147필지
2023-05-26,장흥풍력,18.0,01시,951.676,17960.351,전남 장흥군 유치면 용문리 산4번지 외 148필지
2023-05-27,장흥풍력,18.0,01시,3821.166,56383.176,전남 장흥군 유치면 용문리 산4번지 외 149필지
2023-05-28,장흥풍력,18.0,01시,2389.314,60218.804,전남 장흥군 유치면 용문리 산4번지 외 150필지
2023-05-29,장흥풍력,18.0,01시,3672.196,15306.361,전남 장흥군 유치면 용문리 산4번지 외 151필지
2023-05-30,장흥풍력,18.0,01시,0.0,45464.936,전남 장흥군 유치면 용문리 산4번지 외 152필지
2023-05-31,장흥풍력,18.0,01시,2196.954,36902.746,전남 장흥군 유치면 용문리 산4번지 외 153필지
2023-06-01,장흥풍력,18.0,01시,3242.64,32887.774,전남 장흥군 유치면 용문리 산4번지 외 154필지
2023-06-02,장흥풍력,18.0,01시,52.067,98230.873,전남 장흥군 유치면 용문리 산4번지 외 155필지
2023-06-03,장흥풍력,18.0,01시,3303.385,87387.845,전남 장흥군 유치면 용문리 산4번지 외 156필지
2023-06-04,장흥풍력,18.0,01시,6479.495,69187.408,전남 장흥군 유치면 용문리 산4번지 외 157필지
2023-06-05,장흥풍력,18.0,01시,2040.752,30479.658,전남 장흥군 유치면 용문리 산4번지 외 158필지
2023-06-06,장흥풍력,18.0,01시,1.446,14837.753,전남 장흥군 유치면 용문리 산4번지 외 159필지
2023-06-07,장흥풍력,18.0,01시,2875.276,14007.569,전남 장흥군 유치면 용문리 산4번지 외 160필지
2023-06-08,장흥풍력,18.0,01시,503.318,27510.372,전남 장흥군 유치면 용문리 산4번지 외 161필지
2023-06-09,장흥풍력,18.0,01시,2590.352,25732.85,전남 장흥군 유치면 용문리 산4번지 외 162필지
2023-06-10,장흥풍력,18.0,01시,203.931,30455.073,전남 장흥군 유치면 용문리 산4번지 외 163필지
2023-06-11,장흥풍력,18.0,01시,1741.364,18158.495,전남 장흥군 유치면 용문리 산4번지 외 164필지
2023-06-12,장흥풍력,18.0,01시,0.0,2888.293,전남 장흥군 유치면 용문리 산4번지 외 165필지
2023-06-13,장흥풍력,18.0,01시,7.232,2800.07,전남 장흥군 유치면 용문리 산4번지 외 166필지
2023-06-14,장흥풍력,18.0,01시,302.28,22420.787,전남 장흥군 유치면 용문리 산4번지 외 167필지
2023-06-15,장흥풍력,18.0,01시,0.0,18777.518,전남 장흥군 유치면 용문리 산4번지 외 168필지
2023-06-16,장흥풍력,18.0,01시,717.373,4178.406,전남 장흥군 유치면 용문리 산4번지 외 169필지
2023-06-17,장흥풍력,18.0,01시,11.571,6917.729,전남 장흥군 유치면 용문리 산4번지 외 170필지
2023-06-18,장흥풍력,18.0,01시,102.688,8187.594,전남 장흥군 유치면 용문리 산4번지 외 171필지
2023-06-19,장흥풍력,18.0,01시,0.0,23350.77,전남 장흥군 유치면 용문리 산4번지 외 172필지
2023-06-20,장흥풍력,18.0,01시,2490.556,75681.367,전남 장흥군 유치면 용문리 산4번지 외 173필지
2023-06-21,장흥풍력,18.0,01시,6018.12,37404.62,전남 장흥군 유치면 용문리 산4번지 외 174필지
2023-06-22,장흥풍력,18.0,01시,1116.556,50376.626,전남 장흥군 유치면 용문리 산4번지 외 175필지
2023-06-23,장흥풍력,18.0,01시,2802.96,30831.114,전남 장흥군 유치면 용문리 산4번지 외 176필지
2023-06-24,장흥풍력,18.0,01시,1916.368,32675.164,전남 장흥군 유치면 용문리 산4번지 외 177필지
2023-06-25,장흥풍력,18.0,01시,2186.829,105722.791,전남 장흥군 유치면 용문리 산4번지 외 178필지
2023-06-26,장흥풍력,18.0,01시,3417.644,81175.92,전남 장흥군 유치면 용문리 산4번지 외 179필지
2023-06-27,장흥풍력,18.0,01시,3688.105,36724.85,전남 장흥군 유치면 용문리 산4번지 외 180필지
2023-06-28,장흥풍력,18.0,01시,821.507,15912.366,전남 장흥군 유치면 용문리 산4번지 외 181필지
2023-06-29,장흥풍력,18.0,01시,743.406,65030.698,전남 장흥군 유치면 용문리 산4번지 외 182필지
2023-06-30,장흥풍력,18.0,01시,1465.118,21404.026,전남 장흥군 유치면 용문리 산4번지 외 183필지
2023-07-01,장흥풍력,18.0,01시,0.0,3783.561,전남 장흥군 유치면 용문리 산4번지 외 184필지
2023-07-02,장흥풍력,18.0,01시,0.0,5150.33,전남 장흥군 유치면 용문리 산4번지 외 185필지
2023-07-03,장흥풍력,18.0,01시,0.0,3957.118,전남 장흥군 유치면 용문리 산4번지 외 186필지
2023-07-04,장흥풍력,18.0,01시,175.004,23331.966,전남 장흥군 유치면 용문리 산4번지 외 187필지
2023-07-05,장흥풍력,18.0,01시,3060.404,50469.188,전남 장흥군 유치면 용문리 산4번지 외 188필지
2023-07-06,장흥풍력,18.0,01시,195.253,16304.319,전남 장흥군 유치면 용문리 산4번지 외 189필지
2023-07-07,장흥풍력,18.0,01시,1903.352,43907.254,전남 장흥군 유치면 용문리 산4번지 외 190필지
2023-07-08,장흥풍력,18.0,01시,1266.973,5487.324,전남 장흥군 유치면 용문리 산4번지 외 191필지
2023-07-09,장흥풍력,18.0,01시,1917.815,17989.277,전남 장흥군 유치면 용문리 산4번지 외 192필지
2023-07-10,장흥풍력,18.0,01시,70.869,27653.558,전남 장흥군 유치면 용문리 산4번지 외 193필지
2023-07-11,장흥풍력,18.0,01시,944.444,48918.739,전남 장흥군 유치면 용문리 산4번지 외 194필지
2023-07-12,장흥풍력,18.0,01시,205.377,17225.619,전남 장흥군 유치면 용문리 산4번지 외 195필지
2023-07-13,장흥풍력,18.0,01시,1277.097,63662.483,전남 장흥군 유치면 용문리 산4번지 외 196필지
2023-07-14,장흥풍력,18.0,01시,4712.097,87879.594,전남 장흥군 유치면 용문리 산4번지 외 197필지
2023-07-15,장흥풍력,18.0,01시,2499.234,39955.92,전남 장흥군 유치면 용문리 산4번지 외 198필지
2023-07-16,장흥풍력,18.0,01시,947.337,2820.317,전남 장흥군 유치면 용문리 산4번지 외 199필지
2023-07-17,장흥풍력,18.0,01시,0.0,18483.916,전남 장흥군 유치면 용문리 산4번지 외 200필지
2023-07-18,장흥풍력,18.0,01시,412.2,31503.65,전남 장흥군 유치면 용문리 산4번지 외 201필지
2023-07-19,장흥풍력,18.0,01시,1.446,3740.173,전남 장흥군 유치면 용문리 산4번지 외 202필지
2023-07-20,장흥풍력,18.0,01시,10.124,945.89,전남 장흥군 유치면 용문리 산4번지 외 203필지
