"발전구분","호기","일자","1시 발전량(MWh)","2시 발전량(MWh)","3시 발전량(MWh)","4시 발전량(MWh)","5시 발전량(MWh)","6시 발전량(MWh)","7시 발전량(MWh)","8시 발전량(MWh)","9시 발전량(MWh)","10시 발전량(MWh)","11시 발전량(MWh)","12시 발전량(MWh)","13시 발전량(MWh)","14시 발전량(MWh)","15시 발전량(MWh)","16시 발전량(MWh)","17시 발전량(MWh)","18시 발전량(MWh)","19시 발전량(MWh)","20시 발전량(MWh)","21시 발전량(MWh)","22시 발전량(MWh)","23시 발전량(MWh)","24시 발전량(MWh)","총량(KW)","평균(KW)","최대(시간별)","최소(시간별)","최대","최소"
"영흥풍력","1"," 2025-05-20 00:00:00","451.46","343.6","9.779","13.385","341.537","405.609","436.806","432.333","746.02","2779.018","1597.252","972.407","203.632","0","162.868","540.305","218.691","0","0","0","0","0","0","0","9654.702","402","2779.01","9.77","2779.018","0"
"영흥풍력","2"," 2025-05-20 00:00:00","5573.76","2363.52","873.6","677.76","280.32","647.04","2156.16","2457.6","4442.88","6641.28","6414.72","6933.12","7522.56","3223.68","1198.08","1829.76","2668.8","7795.2","5395.2","4521.6","4225.92","3402.24","2378.88","1797.12","85420.8","3559","7795.2","280.32","7795.2","280.32"
"군위 화산풍력","1"," 2025-05-20 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2025-05-20 00:00:00","19985.112","20133.68","19975.144","20038.2","19329.912","12571.832","13789.44","15822.576","7622.216","7518.728","6988.296","9413.152","7377.888","7553.616","11150.552","5412.568","5431.496","6798.288","14492.184","18150.384","14232.456","15545.096","19017.04","18726.904","317076.76","13212","20133.68","5412.568","20133.68","5412.568"
"삼천포풍력","1"," 2025-05-19 00:00:00","0","0","0","0","0","0","0","0","0.72","10.152","34.704","46.008","26.28","41.4","116.856","196.056","281.232","316.44","34.776","67.608","20.448","0","11.376","24.624","1228.68","51","316.44","0.72","316.44","0"
"영흥풍력","1"," 2025-05-19 00:00:00","0","0","0","0","298.423","283.479","302.491","388.488","357.02","1038.876","313.193","198.059","290.981","312.133","351.564","345.471","281.147","363.46","433.317","469.276","440.027","300.467","361.224","299.021","7428.117","310","1038.87","198.059","1038.876","0"
"영흥풍력","2"," 2025-05-19 00:00:00","0","0","0","241.92","929.28","2457.6","2133.12","2565.12","2096.64","1720.32","4874.88","4320","1082.88","1572.48","5381.76","4892.16","1660.8","5395.2","5905.92","6059.52","6251.52","3989.76","1488","1939.2","66958.08","2790","6251.52","241.92","6251.52","0"
"군위 화산풍력","1"," 2025-05-19 00:00:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"어음풍력","1"," 2025-05-19 00:00:00","2341.36","2298.296","4197.648","6302.8","7408.352","8850.296","8106.392","9737.392","8772.288","11479.944","13461.448","15731.632","15925.952","15955.576","18104.632","19304.768","20104.336","20132.952","20124.384","20138.552","20133.008","19957.392","19901.84","19982.928","328454.168","13686","20138.55","2298.296","20138.552","2298.296"
"삼천포풍력","1"," 2025-05-18 00:00:00","49.68","98.784","125.712","52.2","1.872","9.864","7.056","4.176","49.824","1.656","28.152","25.2","4.608","40.32","103.464","137.016","183.528","195.696","137.952","38.52","70.128","2.376","0","0","1367.784","57","195.69","1.656","195.696","0"
