설비용량(MW),연식(년),기온(°C),풍속(m/s)_cubed,습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),풍향_sin,풍향_cos,시간_sin,시간_cos,월_sin,월_cos,블레이드,air_density,absolute_humidity,계절_encoded,실제,예측,오차,절대오차,발전구분
2.0,19.51266256,20.9,0.026999999999999996,83.0,20.4,17.8,1010.4,0.0,1.0,0.965925826,0.258819045,-1.0,-1.84e-16,40.0,1.187873493,15.26034324,0,1573.5,640.6544165390223,932.8455834609777,932.8455834609777,성산풍력
2.0,16.68172485,6.6,0.06400000000000002,71.0,6.9,1.7,1024.3,0.0,1.0,-0.707106781,0.707106781,-0.5,0.866025404,40.0,1.272299739,5.454363184,1,1846.0,913.3369437414221,932.6630562585779,932.6630562585779,성산풍력
2.0,11.72895277,5.8,8.0,65.0,6.0,-0.2,1020.5,-0.766044443,-0.64278761,0.0,1.0,-0.5,0.866025404,40.0,1.27163941,4.760370097,1,207.0,1139.5640901578663,-932.5640901578663,932.5640901578663,성산풍력
4.2,0.9,28.5,24.389,89.0,34.6,26.5,1007.4,0.939692621,0.342020143,0.866025404,0.5,-0.866025404,-0.5,68.0,1.148307717,25.0437309,0,21.6608,954.1462302155342,-932.4854302155342,932.4854302155342,어음풍력
3.0,7.353867214,10.8,85.18400000000003,64.0,8.2,4.2,1008.2,-2.45e-16,1.0,0.866025404,-0.5,1.0,6.12e-17,45.0,1.233094037,6.470801204,2,1003.2,71.32806627935497,931.8719337206451,931.8719337206451,한경풍력
3.0,17.42094456,17.7,2352.637,96.0,19.4,17.0,1002.3,0.939692621,-0.342020143,1.22e-16,-1.0,0.866025404,-0.5,45.0,1.19172761,14.50763218,2,2314.0,1382.2964881163643,931.7035118836357,931.7035118836357,한경풍력
4.2,1.3,2.9,238.32800000000003,49.0,3.7,-6.7,1031.8,-0.342020143,0.939692621,0.707106781,-0.707106781,0.5,0.866025404,68.0,1.300358722,3.002849431,1,2614.9088,3546.4192906978424,-931.5104906978422,931.5104906978422,어음풍력
2.0,12.99383984,11.8,15.625,48.0,6.6,1.1,1017.5,-1.0,-1.84e-16,1.0,6.12e-17,0.866025404,0.5,40.0,1.240896935,5.245027955,2,1574.0,642.7393470090756,931.2606529909244,931.2606529909244,성산풍력
2.0,12.76659822,10.8,0.7290000000000001,73.0,9.4,6.1,1013.9,1.22e-16,-1.0,-1.0,-1.84e-16,0.0,1.0,40.0,1.239546937,7.330599508,1,1978.75,1047.525704931264,931.224295068736,931.224295068736,성산풍력
2.0,15.47433265,12.1,0.026999999999999996,53.0,7.4,2.7,1012.0,0.0,1.0,-0.707106781,0.707106781,0.866025404,0.5,40.0,1.232487932,5.870788859,2,1911.333333,980.1733812525636,931.1599517474365,931.1599517474365,성산풍력
3.0,7.789185489,23.2,287.496,82.0,23.2,19.9,998.1,-2.45e-16,1.0,-0.965925826,0.258819045,-0.866025404,-0.5,45.0,1.162948677,17.22483277,0,2177.8,1246.6662471221644,931.1337528778358,931.1337528778358,한경풍력
4.2,0.2,2.7,10.648000000000003,65.0,4.8,-3.2,1028.4,1.22e-16,-1.0,0.965925826,-0.258819045,0.0,1.0,68.0,1.296465791,3.873402401,1,1414.3696,483.2551096177194,931.1144903822806,931.1144903822806,어음풍력
3.0,10.7926078,8.2,2352.637,85.0,9.2,5.8,1009.3,-0.939692621,-0.342020143,-0.5,-0.866025404,0.5,0.866025404,56.0,1.245404768,7.176042857,1,2501.052571,1570.0114165704872,931.041154429513,931.041154429513,상명풍력
2.0,11.93976728,7.9,46.656000000000006,28.0,3.0,-9.5,1016.5,0.939692621,0.342020143,-0.5,-0.866025404,0.866025404,0.5,40.0,1.258590378,2.455162396,2,1960.5,1029.4694234135677,931.0305765864323,931.0305765864323,성산풍력
2.0,14.17111567,21.5,1.0,79.0,20.1,17.6,996.7,0.939692621,0.342020143,0.0,1.0,0.5,-0.866025404,40.0,1.16937106,15.07857999,3,1474.25,543.3123957193893,930.9376042806107,930.9376042806107,성산풍력
2.0,12.46543463,15.0,4.096000000000001,69.0,11.7,9.3,1002.0,-2.45e-16,1.0,0.866025404,0.5,0.866025404,0.5,40.0,1.206037725,9.015354948,2,1.0,931.8224437777826,-930.8224437777826,930.8224437777826,성산풍력
2.0,17.30321697,25.7,2.7439999999999993,99.0,32.6,25.5,1002.4,-0.939692621,-0.342020143,0.258819045,0.965925826,1.22e-16,-1.0,40.0,1.154098909,23.71789915,3,1606.25,675.5046194205061,930.7453805794939,930.7453805794939,성산풍력
2.0,12.6954141,12.5,10.648000000000003,80.0,11.6,9.1,1005.9,0.342020143,0.939692621,0.866025404,-0.5,-0.5,0.866025404,40.0,1.221427968,8.893135364,1,1767.75,837.2331063086749,930.5168936913251,930.5168936913251,성산풍력
2.0,17.87268994,27.5,35.937,99.0,36.3,27.3,1001.8,0.766044443,0.64278761,-0.5,0.866025404,-0.5,-0.866025404,40.0,1.144890318,26.21644923,3,1810.833333,880.4427468575304,930.3905861424696,930.3905861424696,성산풍력
2.0,17.32238193,1.4,0.7290000000000001,76.0,5.2,-2.3,1018.8,-1.0,-1.84e-16,0.258819045,0.965925826,0.0,1.0,40.0,1.290271496,4.113877097,1,1777.0,846.7780483983224,930.2219516016776,930.2219516016776,성산풍력
2.0,15.97535934,9.2,0.7290000000000001,59.0,6.8,1.5,1012.7,-2.45e-16,1.0,0.258819045,0.965925826,0.866025404,0.5,40.0,1.246297593,5.412151002,2,1762.25,832.2502508518519,929.9997491481481,929.9997491481481,성산풍력
2.0,20.09034908,15.9,8.0,41.0,7.4,2.6,1012.9,1.22e-16,-1.0,-0.707106781,-0.707106781,-0.866025404,0.5,40.0,1.217404026,5.812749519,0,0.0,929.6452527299698,-929.6452527299698,929.6452527299698,성산풍력
2.0,16.10403833,15.5,4.096000000000001,87.0,15.3,13.3,1013.2,1.22e-16,-1.0,-0.866025404,-0.5,-0.866025404,0.5,40.0,1.215845718,11.57733589,0,1914.166667,984.628118040273,929.538548959727,929.538548959727,성산풍력
2.0,23.41409993,6.7,0.7290000000000001,70.0,6.9,1.6,1013.6,-0.64278761,0.766044443,0.866025404,0.5,0.866025404,0.5,40.0,1.258548908,5.416686395,2,1649.166667,719.6626159431762,929.5040510568238,929.5040510568238,성산풍력
4.2,1.5,12.8,0.06400000000000002,55.0,8.1,3.9,1013.5,0.0,1.0,0.965925826,-0.258819045,1.0,6.12e-17,68.0,1.231000208,6.351299938,2,91.9744,1021.0947990486166,-929.1203990486165,929.1203990486165,어음풍력
2.0,16.01916496,20.0,10.648000000000003,99.0,23.1,19.8,1003.3,-0.939692621,-0.342020143,-0.965925826,0.258819045,-1.0,-1.84e-16,40.0,1.181901317,17.11130194,0,1576.5,647.4058011015586,929.0941988984414,929.0941988984414,성산풍력
2.0,18.92676249,14.6,9.261000000000001,41.0,6.8,1.4,1009.6,1.22e-16,-1.0,1.22e-16,-1.0,0.866025404,0.5,40.0,1.219180303,5.370699879,2,0.0,929.0363141663838,-929.0363141663838,929.0363141663838,성산풍력
3.0,17.84257358,18.6,1295.0290000000002,48.0,10.2,7.3,1007.8,0.766044443,0.64278761,0.866025404,-0.5,-1.0,-1.84e-16,45.0,1.198748553,7.934366645,0,2423.8,1494.8360201125033,928.9639798874969,928.9639798874969,한경풍력
2.0,13.60985626,13.4,12.166999999999998,45.0,6.9,1.6,1018.2,-0.342020143,-0.939692621,-0.866025404,-0.5,-0.866025404,0.5,40.0,1.234693332,5.449367761,0,121.5,1050.326603364665,-928.8266033646651,928.8266033646651,성산풍력
2.0,12.53661875,16.9,24.389,75.0,14.4,12.4,1003.6,-0.939692621,-0.342020143,-1.0,-1.84e-16,1.0,6.12e-17,40.0,1.198845732,10.94493283,2,1566.5,637.7418148980069,928.7581851019931,928.7581851019931,성산풍력
2.0,14.88295688,5.2,2.197,59.0,5.2,-2.1,1017.9,-0.342020143,0.939692621,-0.707106781,0.707106781,0.5,0.866025404,40.0,1.27149311,4.17440491,1,1538.75,610.4472572208615,928.3027427791385,928.3027427791385,성산풍력
2.0,9.941136208,15.3,8.0,70.0,12.1,9.8,1003.1,0.939692621,0.342020143,0.866025404,0.5,0.866025404,0.5,40.0,1.205928021,9.307579905,2,1996.5,1068.6114391101037,927.8885608898963,927.8885608898963,성산풍력
2.0,17.95756331,13.1,0.7290000000000001,86.0,12.9,10.8,1009.7,-0.342020143,0.939692621,-0.258819045,0.965925826,0.866025404,0.5,40.0,1.222862967,9.885236884,2,1530.75,603.0158586942707,927.7341413057293,927.7341413057293,성산풍력
2.0,20.5119781,21.0,17.576,40.0,9.9,6.8,1009.9,-0.766044443,-0.64278761,0.5,-0.866025404,-1.0,-1.84e-16,40.0,1.19160597,7.68463357,0,1288.5,360.8029101509892,927.6970898490108,927.6970898490108,성산풍력
3.0,11.4661191,23.7,85.18400000000003,89.0,26.0,21.7,1006.7,0.939692621,-0.342020143,0.965925826,0.258819045,-1.0,-1.84e-16,56.0,1.169855757,19.15294807,0,1295.684143,368.0632160282112,927.6209269717888,927.6209269717888,상명풍력
2.0,17.58247775,13.6,1.7279999999999998,76.0,11.8,9.4,1015.0,-2.45e-16,1.0,0.965925826,0.258819045,-1.0,-1.84e-16,40.0,1.227687165,9.067862701,0,1579.25,651.7198516862409,927.5301483137591,927.5301483137591,성산풍력
4.2,0.1,0.3,157.46400000000003,90.0,5.6,-1.1,1032.3,-2.45e-16,1.0,0.5,-0.866025404,-0.5,0.866025404,68.0,1.312428113,4.479299169,1,3181.92,2254.472136255703,927.4478637442971,927.4478637442971,어음풍력
